Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
Lejia Society,T06SS0031E,"Public awareness, promotion & advisory",06/12/2012,"$50,000 and <$200,000",Social and Welfare,Registered,Support Groups,Ministry of Social and Family Development
"Legion of Mary, The",S61SS0184J,,13/2/1992,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Lawn Bowls Association for the Disabled (Singapore),T04SS0110B,"Public awareness, promotion & advisory",11/11/2016,"$50,000 and <$200,000",Sports,Registered with IPC,Disability Sports,Sport Singapore
Lam Hai Poh Toh San,S85SS0012F,,01/4/1989,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
KWSH FOUNDATION LIMITED,202126511D,,31/3/2022,"$50,000 and <$200,000",Sports,Registered,Others; Foundation,Ministry of Health
KUO PAO KUN FOUNDATION LIMITED,200722797E,Supports other Charities,09/9/2011,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
Kuah Na Keng Temple Association,S86SS0046K,,27/5/1991,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Koon Teck Tng,S90SS0006G,,15/12/1990,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Kingdom of Jesus Christ Society,T01SS0001J,Supports other Charities,30/1/2003,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Kim Keat Christian Church,S96SS0046B,,23/9/1996,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"Kim Chuan Whuap Tuah Temple, The",S69SS0014A,"Public awareness, promotion & advisory",20/12/1984,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Kew Ong Yah Temple (Upper Serangoon),S21CC0001E,"Public awareness, promotion & advisory",23/12/2014,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
KEAT HONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T03CC1651H,"Financial assistance, bursaries & scholarships",24/1/2003,"$50,000 and <$200,000",Community,Registered with IPC,South West,People's Association
Kang Ming Free Clinic,T01SS0013F,Direct Services,14/6/2001,"$50,000 and <$200,000",,Registered,TCM Clinic,Ministry of Health
KAMPONG CHAI CHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S92CC0881K,Direct Services,07/7/1992,"$50,000 and <$200,000",Community,Registered with IPC,South East,People's Association
KAM KWONG CHRISTIAN CHURCH,S98SS0044J,Direct Services,19/11/1999,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
KAKI BUKIT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S92CC0869A,"Financial assistance, bursaries & scholarships",19/3/1992,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
KAI SAN TEMPLE ASSOCIATION,S77SS0026B,,31/3/1986,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
K9ASSISTANCE (LIMITED),202010657N,Direct Services,22/12/2020,"$50,000 and <$200,000",,Registered,Disability (Adult),Ministry of Social and Family Development
Jump Rope Federation (Singapore),T13SS0090E,"Public awareness, promotion & advisory",10/4/2017,"$50,000 and <$200,000",Sports,Registered,Competitive Sports,Sport Singapore
Jubilee Assembly of God,T05SS0011A,Supports other Charities,14/3/2006,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Joyful Charity,T04SS0281B,,28/12/2004,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Health
JOHN MEAD DANCE COMPANY LTD.,200701899H,Direct Services,16/3/2009,"$50,000 and <$200,000",Arts and Heritage,Deregistered,"Professional, Contemporary & Ethnic Dance","Ministry of Culture, Community and Youth"
JLU GLOBAL LTD.,200817745G,,07/9/2011,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Jesus Reigns Church,S97SS0141G,,28/12/1998,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Jen Chen Buddhist Blissful Culture Centre,S93SS0098D,"Public awareness, promotion & advisory",18/7/1996,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Jen Chen Buddhism Centre,S92SS0003G,,17/9/2002,"$50,000 and <$200,000",Religious,Deregistered,Buddhism,"Ministry of Culture, Community and Youth"
JAMES RAPER TRUST FUND,S84CC0084L,,27/9/1984,"$50,000 and <$200,000",Education,Registered,Foundations & Trusts,Ministry of Education
JAMES CRAIG FUND,S85CC0165D,"Financial assistance, bursaries & scholarships",15/4/1985,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ISLAMIC DEVELOPMENT BANK EDUCATION TRUST,S94CC1011D,,19/3/1994,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Interserve Singapore,S89SS0004B,"Public awareness, promotion & advisory",06/9/2002,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
INTERNATIONAL RICE RESEARCH INSTITUTE FUND LTD.,200822937C,Research,21/1/2009,"$50,000 and <$200,000",Others,Registered,Think Tanks,"Ministry of Culture, Community and Youth"
INTERNATIONAL CHURCH OF THE FOURSQUARE GOSPEL (SINGAPORE) LTD.,198304234E,,29/5/1986,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
INSPIRING GIRLS SG LTD.,202213461H,"Public awareness, promotion & advisory",15/8/2022,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
In Him Church,T02SS0043D,,29/8/2003,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
IIX GLOBAL CHARITABLE LIMITED,201006538Z,Direct Services,03/12/2010,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
IC@RE HUB LTD.,201307803W,Direct Services,25/9/2013,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
HYFY LIMITED,201423780G,Direct Services,06/1/2016,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
Hwa Kwang Tai Tee Temple,S85SS0073K,Direct Services,02/12/1989,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Huria Kristen Batak Protestant (Batak Christian Protestant) Singapore,S61SS0070G,,02/5/1986,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
HUMPHREY OEI FOUNDATION LIMITED,200503047M,,24/3/2006,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
HUMAN GENOME ORGANISATION (HUGO) INTERNATIONAL LTD.,200802484D,Training & education,12/1/2009,"$50,000 and <$200,000",Others,Deregistered,Think Tanks,"Ministry of Culture, Community and Youth"
HUG COMMUNITY SERVICES LIMITED,201430532E,Direct Services,01/12/2017,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
Hua Xing Institution,S81SS0089D,Supports other Charities,25/7/1989,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Hua Teck Siang Tng,S93SS0001J,Direct Services,18/11/2003,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
House of the Lord Church,S98SS0094A,Direct Services,24/11/1998,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"House of Prayer, The",S88SS0110J,,07/8/1989,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
HOUGANG CONSTITUENCY EDUCATION TRUST,S93CC0976C,"Financial assistance, bursaries & scholarships",03/9/1993,"$50,000 and <$200,000",Education,Registered,Foundations & Trusts,Ministry of Education
HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T04CC1802K,"Financial assistance, bursaries & scholarships",19/8/2004,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
"Hoon Sian Keng Temple, The",S50SS0001D,"Public awareness, promotion & advisory",30/4/1986,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
HOON LENG YIE (TEMPLE) LTD,198403069R,Direct Services,31/7/1990,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Hoon Hong Tian Haw Boo (Yun Feng Tian Hou Miao),S87SS0113C,Direct Services,10/12/1998,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Hoo Leong Keong Temple,S87SS0005K,,27/1/1999,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Hong San Si Temple Society,S84SS0007J,Direct Services,20/1/1986,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
"HOME FOR GOOD, SINGAPORE LTD.",202228829D,"Financial assistance, bursaries & scholarships",28/2/2023,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Hock Leng Keng Temple,S92SS0014H,,07/1/1993,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
HIRA SOCIETY,T13SS0039E,"Financial assistance, bursaries & scholarships",20/5/2013,"$50,000 and <$200,000",Social and Welfare,Registered,Support Groups,Ministry of Social and Family Development
Hindu Centre,S78SS0017J,,18/7/1990,"$50,000 and <$200,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
Hin Ann Thain Hiaw Keng,S81SS0017K,,27/8/1985,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
HIAP TIEN KENG LENG POH TIAN,S91SS0002F,Direct Services,08/10/1996,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
HEPHZIBAH CHRISTIAN FELLOWSHIP,S86SS0091L,Training & education,31/7/1987,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
HELPING JOY LTD.,201622272N,Direct Services,26/11/2019,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Helping and Empowering our Neighbours (HEN),T18SS0191F,Direct Services,17/3/2020,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Helpful Care Group,S99SS0036A,,04/12/1999,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
HEAN THUAN TOH TONG,S80SS0043C,Direct Services,20/12/1985,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
HEALTH ENDOWMENT FUND,T06CC3003D,"Public awareness, promotion & advisory",15/7/1996,"$50,000 and <$200,000",Health,Registered,Hospital/Statutory Board,"Ministry of Culture, Community and Youth"
HCA HOSPICE LIMITED,202114297R,Direct Services,04/1/2022,"$50,000 and <$200,000",Health,Registered with IPC,Hospice,Ministry of Health
HAPPY ARTS ENTERPRISE LTD.,200501743W,,01/8/2005,"$50,000 and <$200,000",,Deregistered,Disability (Adult),Ministry of Social and Family Development
GUI CI MAITREYA ASSOCIATION,S91SS0017B,Direct Services,14/4/2003,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Gratia Dei Sola Media,T09SS0193L,Supports other Charities,19/5/2010,"$50,000 and <$200,000",Religious,Deregistered,Christianity,"Ministry of Culture, Community and Youth"
Grace Fellowship,S87SS0052C,,16/1/1992,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Grace Communion Church,S96SS0080B,,28/11/1997,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Grace Christian Centre,S99SS0016B,Training & education,07/4/2000,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Grace Bible Church,T00SS0135E,,02/5/2003,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Gospel Light Bible- Presbyterian Church,S97SS0038E,,21/7/1998,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Gospel Baptist Church,S89SS0019J,Direct Services,22/12/1992,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GOOD GIFTS CITY CHURCH,S97SS0173C,,06/10/2003,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
God@Work,T04SS0058K,"Public awareness, promotion & advisory",07/9/2004,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Glory Centre Community Services Association,T04SS0029B,Direct Services,21/5/2004,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Glory Centre,S97SS0056A,,24/11/1998,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GLAXOSMITHKLINE-EDB HRD FUND,S91CC0817A,,28/6/1991,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Glad Tidings Gateway,T06SS0197B,,16/12/2009,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
GEYLANG SERAI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S92CC0856H,"Financial assistance, bursaries & scholarships",13/1/1992,"$50,000 and <$200,000",Community,Registered with IPC,South East,People's Association
Geylang New Testament Church,S81SS0003K,"Public awareness, promotion & advisory",27/5/1985,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Gerontological Society,S86SS0037A,"Public awareness, promotion & advisory",13/1/1992,"$50,000 and <$200,000",Health,Registered,Active Ageing,Ministry of Health
GENERAL WELFARE FUND,S86CC0353E,"Financial assistance, bursaries & scholarships",08/7/1986,"$50,000 and <$200,000",Social and Welfare,Registered,Community,"Ministry of Culture, Community and Youth"
General Board of True Jesus Mission,S62SS0040H,,19/12/1984,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Gang Tian Da Di Association,S88SS0004H,,30/6/1988,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Fung Huo Yuan Temple,S89SS0080C,,26/5/1995,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
FULLERTON HEALTH FOUNDATION LIMITED,201543817H,Direct Services,29/8/2020,"$50,000 and <$200,000",Health,Registered,Health Professional Group,Ministry of Health
Friends of the Disabled Society,T00SS0207F,Direct Services,01/5/2007,"$50,000 and <$200,000",,Registered,Disability (Adult),Ministry of Social and Family Development
Friends of Autism Charitable Trust,T20CC0001D,Direct Services,24/6/2020,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Free Presbyterian Church of Scotland (Singapore),S94SS0050K,,15/8/1995,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"Free Christian Church of Singapore, The",S61SS0112D,Direct Services,17/1/1986,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
FRANCISCAN MISSIONARIES OF MARY,S92CC0900J,Direct Services,15/9/1992,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Fook Tet Soo Hakka Temple,T07SS0006H,,18/4/2006,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
FOMOS LTD.,200609590N,Supports other Charities,17/8/2009,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
FLUTE ASSOCIATION SINGAPORE,T12SS0101H,,08/2/2013,"$50,000 and <$200,000",Arts and Heritage,Deregistered,Music & Orchestras,"Ministry of Culture, Community and Youth"
Festival of Praise Fellowship,S98SS0112D,,20/9/1999,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
FELLOWSHIP OF CHRISTIAN ATHLETES SINGAPORE LIMITED,201300850N,Direct Services,15/4/2014,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"Federation of Youth Clubs, Singapore",S62SS0052E,Supports other Charities,18/1/1986,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
"Federation of Art Societies, Singapore",S92SS0016L,"Public awareness, promotion & advisory",01/8/2016,"$50,000 and <$200,000",Arts and Heritage,Registered,Visual Arts,"Ministry of Culture, Community and Youth"
FAMILY LIFE FIRST,S97SS0016C,Direct Services,01/2/1997,"$50,000 and <$200,000",Social and Welfare,Deregistered,Children/Youth,Ministry of Social and Family Development
Family Enrichment Society,S98SS0035L,Training & education,31/8/2010,"$50,000 and <$200,000",Social and Welfare,Registered,Family,Ministry of Social and Family Development
"FAITH CHARITY TRUST,THE",S95CC1091E,,27/4/1995,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
FAH SI LAM BUDDHIST TEMPLE,S88CC0566A,,31/3/1988,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
EXCLUSIVELY MONGRELS LIMITED,201216939N,"Public awareness, promotion & advisory",23/5/2013,"$50,000 and <$200,000",Others,Registered,Animal Welfare,"Ministry of Culture, Community and Youth"
EVERCARE WELFARE CENTRE,T06SS0304F,,01/10/2007,"$50,000 and <$200,000",Social and Welfare,Deregistered,Eldercare,Ministry of Social and Family Development
Evangelism Equipping Mission (Singapore),S90SS0008K,Training & education,09/11/1990,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
EVANGELICAL ALLIANCE OF SINGAPORE LTD.,198001725R,Direct Services,21/3/1984,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
EURASIAN ASSOCIATION ENDOWMENT FUND,S92CC0913B,"Financial assistance, bursaries & scholarships",19/10/1992,"$50,000 and <$200,000",Others,Registered,Self-Help Groups,"Ministry of Culture, Community and Youth"
EUNOS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S89CC0679A,"Financial assistance, bursaries & scholarships",26/8/1989,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
EST OF R M MEYER DEC'D TALMUD TORAH TRUST FUND,S85CC0171C,,19/4/1985,"$50,000 and <$200,000",Sports,Deregistered,Others,"Ministry of Culture, Community and Youth"
EST OF R M MEYER DEC'D SYNAGOGUE TRUST FUND,S85CC0170G,,19/4/1985,"$50,000 and <$200,000",Sports,Deregistered,Others,"Ministry of Culture, Community and Youth"
EST OF DOO GEE LILY ALSO KNOWN AS LILY GEE DOO DECEASED,S87CC0446F,,08/4/1987,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ENGINEERING GOOD LTD.,201408320W,"Public awareness, promotion & advisory",24/10/2014,"$50,000 and <$200,000",Others,Registered,Humanitarian Aid,"Ministry of Culture, Community and Youth"
Endocrine and Metabolic Society of Singapore,S71SS0056J,"Financial assistance, bursaries & scholarships",21/7/1986,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Health
ENDOCRINE & METABOLIC SOCIETY OF SINGAPORE RESEARCH FUND,S86CC0400E,"Financial assistance, bursaries & scholarships",29/11/1986,"$50,000 and <$200,000",Sports,Deregistered,Others,Ministry of Health
EMPOWER AGEING LIMITED,201619560Z,Direct Services,28/12/2016,"$50,000 and <$200,000",Health,Registered with IPC,Other Community-based Services,Ministry of Health
EMMANUEL TAMIL ANNUAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE,S90CC0753H,Direct Services,05/10/1990,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
EMANCIPASIA LTD.,201205064M,"Public awareness, promotion & advisory",07/4/2014,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Eden Community Services Centre,S99SS0093K,,24/2/2000,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Eckankar Satsang Singapore,S79SS0022F,,15/10/1985,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
DR. OON CHIEW SENG TRUST LIMITED,201319279R,Direct Services,14/10/2014,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Health
DR TOH CHIN CHYE BENEVOLENT FUND FOR THE AGED,S89CC0692F,"Financial assistance, bursaries & scholarships",18/10/1989,"$50,000 and <$200,000",Community,Registered,Central,People's Association
Domestic Employees Welfare Fund,T16CC0008C,Direct Services,18/1/2017,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Support Groups,Ministry of Social and Family Development
DHC HOPE FOUNDATION LTD.,201322114N,Grantmaking,18/2/2016,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
DEWS OF JOY LIMITED,202104036C,Grantmaking,12/1/2022,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
"Design Society, The",T09SS0071G,,31/12/2009,"$50,000 and <$200,000",Sports,Deregistered,Others,"Ministry of Culture, Community and Youth"
Dermatological Society of Singapore,S72SS0047E,"Public awareness, promotion & advisory",12/4/1986,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Health
DEAF SPORTS ASSOCIATION (SINGAPORE),T12SS0228C,Direct Services,14/10/2013,"$50,000 and <$200,000",Sports,Registered,Competitive Sports,Sport Singapore
Deaf and Hard-of-Hearing Federation (Singapore),S98SS0140E,"Public awareness, promotion & advisory",16/1/2002,"$50,000 and <$200,000",,Registered,Disability (Adult),Ministry of Social and Family Development
DAS INTERNATIONAL SERVICES LTD.,201111119G,Training & education,14/11/2012,"$50,000 and <$200,000",Education,Registered,Local Educational Institutions/Funds,Ministry of Education
D'ARTISTES,T06SS0069K,Training & education,18/6/2007,"$50,000 and <$200,000",Arts and Heritage,Deregistered,Training & Education,"Ministry of Culture, Community and Youth"
CURIOUS THOUGHTS GIVING LIMITED,201718734C,Direct Services,08/2/2018,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Culture Regeneration Research Society,T00SS0181B,Direct Services,24/5/2002,"$50,000 and <$200,000",Arts and Heritage,Registered,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
CROHN'S & COLITIS SOCIETY OF SINGAPORE,T12SS0090L,,14/1/2014,"$50,000 and <$200,000",Health,Registered with IPC,Diseases/Illnessess Support Group,Ministry of Health
CRESCENT GIRLS' SCHOOL ALUMNAE ASSOCIATION TRUST FUND,S90CC0731F,,30/4/1990,"$50,000 and <$200,000",Education,Registered,Foundations & Trusts,Ministry of Education
Cornerstone Restoration Centre,T03SS0047D,,01/2/2007,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CONGRESS TRUST FUND OF THE OBSTETRICAL AND GYNAECOLOGICAL SOCIETY OF SINGAPORE,S84CC0107E,Training & education,31/10/1984,"$50,000 and <$200,000",Health,Registered,Trust/Research Funds,Ministry of Health
Concern & Care Society,T01SS0058F,Direct Services,13/8/2001,"$50,000 and <$200,000",Health,Registered,Other Community-based Services,Ministry of Health
COMPASS LIFE,T13SS0112C,Training & education,28/4/2015,"$50,000 and <$200,000",Social and Welfare,Registered,Family,Ministry of Social and Family Development
COMMUNITY CULTURAL DEVELOPMENT (SINGAPORE) LTD.,201227165G,Training & education,30/9/2013,"$50,000 and <$200,000",Sports,Deregistered,Others,"Ministry of Culture, Community and Youth"
COMMUNITY CONCERN SERVICES,T04SS0147L,Supports other Charities,08/9/2005,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
"COLLEGE OF RADIOLOGISTS, SINGAPORE",200410338Z,Training & education,13/10/2004,"$50,000 and <$200,000",Health,Registered,Health Professional Group,Ministry of Health
"COLLEGE OF PAEDIATRICS AND CHILD HEALTH, SINGAPORE",200410329W,Training & education,13/10/2004,"$50,000 and <$200,000",Health,Registered,Health Professional Group,Ministry of Health
"COLLEGE OF OBSTETRICIANS AND GYNAECOLOGISTS, SINGAPORE",200410332N,Training & education,13/10/2004,"$50,000 and <$200,000",Health,Registered,Health Professional Group,Ministry of Health
"COLLEGE OF DENTAL SURGEONS, SINGAPORE",200815442W,Training & education,27/6/2014,"$50,000 and <$200,000",Health,Registered,Health Professional Group,Ministry of Health
"COLLEGE OF ANAESTHESIOLOGISTS, SINGAPORE",200410333E,Training & education,13/10/2004,"$50,000 and <$200,000",Health,Registered,Health Professional Group,Ministry of Health
CLEMENTI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S95CC1101F,"Financial assistance, bursaries & scholarships",14/6/1995,"$50,000 and <$200,000",Community,Registered with IPC,South West,People's Association
CIRCLE OF FRIENDS LIMITED,201433751W,Training & education,21/10/2015,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Church of Victory,S96SS0042G,Training & education,23/8/1996,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"Church of Christ, North-East",S88SS0008C,,01/9/1992,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHURCH OF CHRIST THE ROCK,T01SS0184F,Direct Services,24/9/2003,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Church in Missions Association,S90SS0020H,,22/2/1995,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Church Alive Ministries l.k.a Shalom Gospel Hall,S88SS0032J,,15/5/1993,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHUA CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2019K,"Financial assistance, bursaries & scholarships",03/5/2007,"$50,000 and <$200,000",Community,Registered with IPC,South West,People's Association
"CHRIST'S COLLEGE, CAMBRIDGE FUND (SINGAPORE) LIMITED",201926663G,"Financial assistance, bursaries & scholarships",17/6/2022,"$50,000 and <$200,000",Education,Registered,Foundations & Trusts,Ministry of Education
"CHRISTIAN SCIENCE SOCIETY, SINGAPORE",S61SS0063A,Direct Services,01/7/1985,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHRISTIAN PAROUSIA FELLOWSHIP (SINGAPORE),S93SS0117C,Supports other Charities,02/12/1996,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Christian Ekklesia,S93SS0032J,Supports other Charities,03/8/1994,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHRISTIAN COUNSELLING SERVICES,T12SS0078B,"Public awareness, promotion & advisory",12/6/2014,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
CHRISTIAN CARE SERVICES (SINGAPORE),S99SS0072D,,21/3/2000,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Christ Tabernacle,S90SS0028J,Training & education,23/11/1991,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHOW TAI FOOK CHARITY FOUNDATION (SINGAPORE) LIMITED,201604228M,Grantmaking,25/8/2016,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
CHOU SING CHU FOUNDATION,200414000R,Training & education,22/2/2005,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
